Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,I. Solet,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,T. Ouorou,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,M. Brahimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,P. Panayotov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,Bruno Jordão,0,1,0,1,2,1,0,0,19,0,0,1,0,3,1
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,J. Gbamin,0,0,0,0,0,0,0,0,33,0,0,1,1,1,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,Á. Martino,0,0,0,0,2,1,0,0,22,0,0,0,0,2,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,F. Rodríguez,0,0,1,0,1,0,0,0,19,0,0,0,0,1,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,F. Lapoukhov,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,L. Godoy,0,1,0,1,0,0,0,0,8,0,0,3,0,0,1
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,Pastor,0,0,0,1,1,1,0,1,14,0,0,0,0,0,0
44,30 Jul 2026,,cgnao8wk5k70nbz7zd6633eac,Bram Van Driessche,PFK CSKA Sofia,Qarabağ Ağdam FK,T. Ivanov,0,0,0,0,1,2,0,0,25,0,0,0,0,3,0
