Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Anaitz Arbilla,0,0,0,0,0,0,0,0,108,0,0,1,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Juan Bernat,0,0,4,5,1,0,0,0,45,0,0,0,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Sergio Álvarez,0,0,0,0,1,1,0,0,52,0,0,1,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Adu Ares,0,0,1,4,1,3,0,0,33,0,0,1,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Ander Madariaga,0,0,0,0,0,3,0,0,62,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jonmi Magunagoitia,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jon Bautista,0,0,1,0,2,1,1,0,18,0,0,7,3,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Pejiño,0,1,0,5,2,1,0,0,16,0,0,1,0,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Markel Arana,0,0,0,1,0,1,0,0,75,0,0,1,1,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Sergio Cubero,0,1,1,2,0,2,0,0,57,0,0,3,1,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jon Magunazelaia,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Aleix Garrido,0,1,0,2,0,1,0,0,29,0,0,1,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Eric Pérez,0,0,0,4,1,0,0,0,13,0,0,0,0,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Iván Gil,0,0,0,3,2,1,0,0,8,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jon Guruzeta,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Javi Martón,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Víctor Moreno,0,0,0,0,1,0,0,0,25,0,0,0,0,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,José León,0,0,0,0,0,1,0,0,33,0,0,0,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Enric Gallego,0,0,0,0,2,0,1,1,18,0,0,2,1,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jesús Álvarez,0,0,0,0,2,0,1,0,36,0,0,2,1,2,1
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Nacho Gil,1,0,1,3,2,2,0,1,17,0,0,1,1,3,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Juanjo,0,0,0,0,2,1,0,0,18,0,0,0,0,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Jorge Moreno,0,0,1,2,1,1,0,0,31,0,0,0,0,6,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,David Rodríguez,0,0,0,2,1,2,0,0,29,0,0,0,0,4,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Dani Martín,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,N. Viereck,0,0,0,0,1,0,0,0,19,0,0,0,0,2,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Noel López,0,0,0,1,1,0,0,0,13,0,0,0,0,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Iván Chapela,0,0,0,1,0,2,1,0,14,0,0,1,1,1,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,Fabricio,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
5,16 Aug 2026,,34lc5sla4k25qpzbj4dhwi6ms,José Luis Guzmán Mansilla,SD Eibar,CD Tenerife,M. Pečar,0,0,0,0,1,1,0,0,9,0,0,0,0,1,0
